9419,Holger Behrendt,Male,24,18-25,161,60,GDR,1988,Gymnastics,Gymnastics Men's Rings,Gold
9421,Jutta Behrendt (Hampe-),Female,27,25-30,181,75,GDR,1988,Rowing,Rowing Women's Single Sculls,Gold
9422,Kerstin Behrendt,Female,21,18-25,177,64,GDR,1988,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
9424,Wolfgang Behrendt,Male,20,18-25,,,GER,1956,Boxing,Boxing Men's Bantamweight,Gold
9427,Klaus Behrens,Male,23,18-25,191,88,GER,1964,Rowing,Rowing Men's Coxed Eights,Silver
9428,Kurt Edward Behrens,Male,23,18-25,173,,GER,1908,Diving,Diving Men's Springboard,Silver
9428,Kurt Edward Behrens,Male,27,25-30,173,,GER,1912,Diving,Diving Men's Springboard,Bronze
13725,Gerard Dagobert Henri Bosch van Drakestein,Male,36,Over 30,,,NED,1924,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
13725,Gerard Dagobert Henri Bosch van Drakestein,Male,40,Over 30,,,NED,1928,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
13725,Gerard Dagobert Henri Bosch van Drakestein,Male,40,Over 30,,,NED,1928,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
13726,Bruno Boscherie,Male,29,25-30,180,74,FRA,1980,Fencing,"Fencing Men's Foil, Team",Gold
11616,Michael Allen Oswald Bingham,Male,22,18-25,183,75,GBR,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
11617,Frederick Sparkes Norman Bingley,Male,44,Over 30,,,GBR,1908,Sailing,Sailing Mixed 7 metres,Gold
11619,Bino Bini,Male,24,18-25,,,ITA,1924,Fencing,"Fencing Men's Sabre, Team",Gold
11619,Bino Bini,Male,28,25-30,,,ITA,1928,Fencing,"Fencing Men's Sabre, Individual",Bronze
11619,Bino Bini,Male,28,25-30,,,ITA,1928,Fencing,"Fencing Men's Sabre, Team",Silver
14808,Joo Francisco Brz,Male,27,25-30,,,BRA,1948,Basketball,Basketball Men's Basketball,Bronze
14810,Thiago Braz da Silva,Male,22,18-25,183,75,BRA,2016,Athletics,Athletics Men's Pole Vault,Gold
14812,Romanas Brazdauskis,Male,28,25-30,204,108,LTU,1992,Basketball,Basketball Men's Basketball,Bronze
9430,Robert Sophus Daniel Behrens,Male,21,18-25,,,DEN,1906,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
9432,"Genevieve ""Gen"" Behrent",Female,25,18-25,183,73,NZL,2016,Rowing,Rowing Women's Coxless Pairs,Silver
9434,Melanie Behringer,Female,22,18-25,172,71,GER,2008,Football,Football Women's Football,Bronze
9434,Melanie Behringer,Female,30,25-30,172,71,GER,2016,Football,Football Women's Football,Gold
9438,Gnter Beier,Male,26,25-30,167,61,GDR,1968,Gymnastics,Gymnastics Men's Team All-Around,Bronze
9439,Roswitha Beier (-Sonntag),Female,15,Under 18,160,52,GDR,1972,Swimming,Swimming Women's 100 metres Butterfly,Silver
9439,Roswitha Beier (-Sonntag),Female,15,Under 18,160,52,GDR,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
13732,Roland Bse,Male,21,18-25,187,90,FRG,1968,Rowing,Rowing Men's Coxed Eights,Gold
13733,Ryszard Bosek,Male,26,25-30,189,88,POL,1976,Volleyball,Volleyball Men's Volleyball,Gold
13739,"Christopher Wesson ""Chris"" Bosh",Male,24,18-25,208,104,USA,2008,Basketball,Basketball Men's Basketball,Gold
14817,Kelly Brazier,Female,26,25-30,171,70,NZL,2016,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
9444,Milad Beigi Hareqani,Male,25,18-25,197,80,AZE,2016,Taekwondo,Taekwondo Men's Welterweight,Bronze
9449,"Anthonie Christiaan ""Teun"" Beijnen",Male,24,18-25,,,NED,1924,Rowing,Rowing Men's Coxless Pairs,Gold
