15193,Bernhard Rudolf Britz,Male,26,25-30,,,SWE,1932,Cycling,"Cycling Men's Road Race, Individual",Bronze
15193,Bernhard Rudolf Britz,Male,26,25-30,,,SWE,1932,Cycling,"Cycling Men's Road Race, Team",Bronze
8559,Vladimir Batez,Male,26,25-30,192,85,SCG,1996,Volleyball,Volleyball Men's Volleyball,Bronze
8559,Vladimir Batez,Male,31,Over 30,192,85,SCG,2000,Volleyball,Volleyball Men's Volleyball,Gold
8564,Walter Bathe,Male,19,18-25,,,GER,1912,Swimming,Swimming Men's 200 metres Breaststroke,Gold
8564,Walter Bathe,Male,19,18-25,,,GER,1912,Swimming,Swimming Men's 400 metres Breaststroke,Gold
8573,Joo Santos Batista,Male,27,25-30,179,68,BRA,1988,Football,Football Men's Football,Silver
15197,Herman Harold Brix,Male,21,18-25,190,100,USA,1928,Athletics,Athletics Men's Shot Put,Silver
13974,Laurent Norden Boudouani,Male,21,18-25,176,67,FRA,1988,Boxing,Boxing Men's Welterweight,Silver
13979,"Ronald Hermannus ""Ron"" Boudrie",Male,32,Over 30,201,92,NED,1992,Volleyball,Volleyball Men's Volleyball,Silver
7418,Heiko Balz,Male,22,18-25,168,99,GER,1992,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
7420,Guido Balzarini,Male,49,Over 30,,,ITA,1924,Fencing,"Fencing Men's Sabre, Team",Gold
7429,Giorgio Bambini,Male,23,18-25,192,81,ITA,1968,Boxing,Boxing Men's Heavyweight,Bronze
15211,Neil Broad,Male,29,25-30,191,87,GBR,1996,Tennis,Tennis Men's Doubles,Silver
15212,Annie Broadbent,Female,,,,,GBR,1928,Gymnastics,Gymnastics Women's Team All-Around,Bronze
15216,Brittany Broben,Female,16,Under 18,163,52,AUS,2012,Diving,Diving Women's Platform,Silver
17348,David Cal Figueroa,Male,21,18-25,183,86,ESP,2004,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
17348,David Cal Figueroa,Male,21,18-25,183,86,ESP,2004,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
17348,David Cal Figueroa,Male,25,18-25,183,86,ESP,2008,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
17348,David Cal Figueroa,Male,25,18-25,183,86,ESP,2008,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
17348,David Cal Figueroa,Male,29,25-30,183,86,ESP,2012,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
2829,Richard Louis Pierre Allemane,Male,18,18-25,,,FRA,1900,Football,Football Men's Football,Silver
1500,Kurt Harold Ainsworth,Male,22,18-25,187,84,USA,2000,Baseball,Baseball Men's Baseball,Gold
1503,John Creyghton Ainsworth-Davis,Male,25,18-25,,,GBR,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
1512,Robin Allingham Aisher,Male,34,Over 30,185,85,GBR,1968,Sailing,Sailing Mixed 5.5 metres,Bronze
11867,Dallas Denver Bixler,Male,22,18-25,,,USA,1932,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
5202,Eva Johanne Arndt-Riise,Female,28,25-30,,,DEN,1948,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
5204,Tor Birger Arneberg,Male,23,18-25,183,,NOR,1952,Sailing,Sailing Mixed 6 metres,Silver
5206,Raul Arnemann,Male,23,18-25,186,82,URS,1976,Rowing,Rowing Men's Coxless Fours,Bronze
5212,Jay Joseph Hoyland Arnette,Male,21,18-25,188,79,USA,1960,Basketball,Basketball Men's Basketball,Gold
5214,Albert Stephan Arnheiter,Male,21,18-25,,,GER,1912,Rowing,"Rowing Men's Coxed Fours, Outriggers",Gold
13013,Aureliano Bolognesi,Male,21,18-25,,,ITA,1952,Boxing,Boxing Men's Lightweight,Gold
13017,Aleksandr Aleksandrovich Boloshev,Male,25,18-25,205,105,URS,1972,Basketball,Basketball Men's Basketball,Gold
13018,Pyotr Grogoryevich Bolotnikov,Male,30,25-30,173,64,URS,1960,Athletics,"Athletics Men's 10,000 metres",Gold
7430,Clicien Alexandre Roger Bambuck,Male,22,18-25,180,75,FRA,1968,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
7444,Oana Mihaela Ban,Female,18,18-25,139,36,ROU,2004,Gymnastics,Gymnastics Women's Team All-Around,Gold
11886,Mira Bjedov (-Nikoli),Female,24,18-25,192,77,YUG,1980,Basketball,Basketball Women's Basketball,Bronze
11887,"ura ""urica"" Bjedov",Female,21,18-25,170,65,YUG,1968,Swimming,Swimming Women's 100 metres Breaststroke,Gold
11887,"ura ""urica"" Bjedov",Female,21,18-25,170,65,YUG,1968,Swimming,Swimming Women's 200 metres Breaststroke,Silver
7446,"Edward Joseph ""Ed"" Banach",Male,24,18-25,177,90,USA,1984,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
7447,Lou David Banach,Male,24,18-25,183,95,USA,1984,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
7457,Ian A. Banbury,Male,18,18-25,183,70,GBR,1976,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
7458,Elvio Banchero,Male,24,18-25,,,ITA,1928,Football,Football Men's Football,Bronze
3925,Svensk Hjalmar Zakeus Andersson,Male,22,18-25,172,63,SWE,1912,Athletics,"Athletics Men's Cross-Country, Individual",Silver
3925,Svensk Hjalmar Zakeus Andersson,Male,22,18-25,172,63,SWE,1912,Athletics,"Athletics Men's Cross-Country, Team",Gold
15227,Allison M. Brock,Female,36,Over 30,168,59,USA,2016,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
13029,Usain St. Leo Bolt,Male,21,18-25,196,95,JAM,2008,Athletics,Athletics Men's 100 metres,Gold
13029,Usain St. Leo Bolt,Male,21,18-25,196,95,JAM,2008,Athletics,Athletics Men's 200 metres,Gold
13029,Usain St. Leo Bolt,Male,25,18-25,196,95,JAM,2012,Athletics,Athletics Men's 100 metres,Gold
13029,Usain St. Leo Bolt,Male,25,18-25,196,95,JAM,2012,Athletics,Athletics Men's 200 metres,Gold
13029,Usain St. Leo Bolt,Male,25,18-25,196,95,JAM,2012,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
13029,Usain St. Leo Bolt,Male,29,25-30,196,95,JAM,2016,Athletics,Athletics Men's 100 metres,Gold
250,Saeid Morad Abdevali,Male,26,25-30,170,80,IRI,2016,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
3936,Jonna Andersson,Female,23,18-25,167,61,SWE,2016,Football,Football Women's Football,Silver
3939,Kim Verner Andersson,Male,29,25-30,200,105,SWE,2012,Handball,Handball Men's Handball,Silver
15240,Norman Brckl,Male,21,18-25,183,90,GER,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
15243,Hermanus Gerardus Brockmann,Male,28,25-30,,60,NED,1900,Rowing,Rowing Men's Coxed Pairs,Gold
15243,Hermanus Gerardus Brockmann,Male,28,25-30,,60,NED,1900,Rowing,Rowing Men's Coxed Fours,Silver
15243,Hermanus Gerardus Brockmann,Male,28,25-30,,60,NED,1900,Rowing,Rowing Men's Coxed Eights,Bronze
15244,Oscar Bernard Brockmeyer,Male,20,18-25,,,USA,1904,Football,Football Men's Football,Silver
6240,Kwame Ayew,Male,18,18-25,,,GHA,1992,Football,Football Men's Football,Bronze
6241,Camille Anas Ayglon-Saurina,Female,31,Over 30,180,66,FRA,2016,Handball,Handball Women's Handball,Silver
2832,"William Charles ""Bill"" Allen",Male,24,18-25,188,95,USA,1972,Sailing,Sailing Mixed Three Person Keelboat,Gold
2833,John Chad Allen,Male,21,18-25,185,86,USA,1996,Baseball,Baseball Men's Baseball,Bronze
6244,Ahmet Ayk,Male,26,25-30,178,97,TUR,1964,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
6244,Ahmet Ayk,Male,30,25-30,178,97,TUR,1968,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
6249,Turgut Ayka,Male,26,25-30,168,57,TUR,1984,Boxing,Boxing Men's Featherweight,Bronze
6256,"Luciana Paula ""Lucha"" Aymar",Female,23,18-25,178,59,ARG,2000,Hockey,Hockey Women's Hockey,Silver
6256,"Luciana Paula ""Lucha"" Aymar",Female,27,25-30,178,59,ARG,2004,Hockey,Hockey Women's Hockey,Bronze
1530,"Gordon ""Gord"" Aitchison",Male,27,25-30,,,CAN,1936,Basketball,Basketball Men's Basketball,Silver
1531,Frances Helen Aitchison (-Leisk),Female,30,25-30,,,GBR,1912,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver
1534,Brett Aitken,Male,21,18-25,173,65,AUS,1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1534,Brett Aitken,Male,25,18-25,173,65,AUS,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1534,Brett Aitken,Male,29,25-30,173,65,AUS,2000,Cycling,Cycling Men's Madison,Gold
1538,Vladimir Atoff,Male,20,18-25,,,FRA,1900,Rugby,Rugby Men's Rugby,Gold
3954,Per Magnus Andersson,Male,26,25-30,180,80,SWE,1992,Handball,Handball Men's Handball,Silver
3954,Per Magnus Andersson,Male,30,25-30,180,80,SWE,1996,Handball,Handball Men's Handball,Silver
3954,Per Magnus Andersson,Male,34,Over 30,180,80,SWE,2000,Handball,Handball Men's Handball,Silver
6256,"Luciana Paula ""Lucha"" Aymar",Female,30,25-30,178,59,ARG,2008,Hockey,Hockey Women's Hockey,Bronze
6256,"Luciana Paula ""Lucha"" Aymar",Female,34,Over 30,178,59,ARG,2012,Hockey,Hockey Women's Hockey,Silver
2849,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",Female,34,Over 30,163,53,AUT,2004,Triathlon,Triathlon Women's Olympic Distance,Gold
2850,"Kate Ruth ""Katie"" Allen",Female,26,25-30,170,65,AUS,2000,Hockey,Hockey Women's Hockey,Gold
10744,Hans Bernhardt,Male,22,18-25,,,GER,1928,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
10751,Sylvie Bernier,Female,20,18-25,157,53,CAN,1984,Diving,Diving Women's Springboard,Gold
10756,Louis Bernot,Male,,,,,FRA,1920,Weightlifting,Weightlifting Men's Heavyweight,Bronze
11902,Hans Adolf Bjerrum (-Bierrum),Male,20,18-25,,,DEN,1920,Hockey,Hockey Men's Hockey,Silver
11905,Ernst Gunnar Bjrk,Male,21,18-25,,,SWE,1912,Cycling,"Cycling Men's Road Race, Team",Gold
11908,Nils Torolf Bjrklf,Male,27,25-30,173,74.5,FIN,1948,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
11908,Nils Torolf Bjrklf,Male,27,25-30,173,74.5,FIN,1948,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
9787,Irina Olegovna Belova,Female,19,18-25,175,52,RUS,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
9788,Irina Nikolayevna Belova (Ilyichova-),Female,24,18-25,175,62,EUN,1992,Athletics,Athletics Women's Heptathlon,Silver
9790,Olga Konstantinovna Belova-Gorbunova,Female,22,18-25,169,60,RUS,2016,Water Polo,Water Polo Women's Water Polo,Bronze
9792,Dieter Below,Male,34,Over 30,183,82,GDR,1976,Sailing,Sailing Mixed Three Person Keelboat,Bronze
3959,Erik Mattias Andersson,Male,34,Over 30,186,95,SWE,2012,Handball,Handball Men's Handball,Silver
3960,Olof Mauritz Andersson,Male,21,18-25,,73,SWE,1908,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
5218,Clemens Arnold,Male,25,18-25,183,87,GER,2004,Hockey,Hockey Men's Hockey,Bronze
5219,"Donald John ""Don"" Arnold",Male,21,18-25,178,83,CAN,1956,Rowing,Rowing Men's Coxless Fours,Gold
5219,"Donald John ""Don"" Arnold",Male,25,18-25,178,83,CAN,1960,Rowing,Rowing Men's Coxed Eights,Silver
5224,Karl Arnold,Male,,,,,GER,1906,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
2861,Nathon Allen,Male,20,18-25,178,,JAM,2016,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
10765,Einar Berntsen,Male,28,25-30,,,NOR,1920,Sailing,Sailing Mixed 6 metres,Bronze
10769,Ole Valdemar Henrik Berntsen,Male,33,Over 30,180,77,DEN,1948,Sailing,Sailing Mixed Three Person Keelboat,Bronze
10769,Ole Valdemar Henrik Berntsen,Male,41,Over 30,180,77,DEN,1956,Sailing,Sailing Mixed Three Person Keelboat,Silver
10769,Ole Valdemar Henrik Berntsen,Male,49,Over 30,180,77,DEN,1964,Sailing,Sailing Mixed Three Person Keelboat,Gold
10771,William Eldred Berntsen,Male,36,Over 30,170,70,DEN,1948,Sailing,Sailing Mixed Three Person Keelboat,Bronze
10771,William Eldred Berntsen,Male,48,Over 30,170,70,DEN,1960,Sailing,Sailing Mixed 5.5 metres,Silver
13989,"Herbert Clifford ""Bert"" Bouffler",Male,25,18-25,183,71,GBR,1906,Cycling,Cycling Men's Sprint,Silver
9803,Daima Mayelis Beltrn Guisado,Female,28,25-30,182,104,CUB,2000,Judo,Judo Women's Heavyweight,Silver
9803,Daima Mayelis Beltrn Guisado,Female,31,Over 30,182,104,CUB,2004,Judo,Judo Women's Heavyweight,Silver
9806,Jos Gil de Gouveia Beltro,Male,30,25-30,,,POR,1936,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
11915,Carl August Bjrkman,Male,42,Over 30,,,SWE,1912,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
11915,Carl August Bjrkman,Male,42,Over 30,,,SWE,1912,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Bronze
11918,Carl Torolf Tnnes Bjrkman,Male,24,18-25,178,,SWE,1912,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Bronze
11919,Waldemar Bjrkstn,Male,38,Over 30,,,FIN,1912,Sailing,Sailing Mixed 10 metres,Silver
11920,Lars Sigurd Bjorkstrom,Male,36,Over 30,184,75,BRA,1980,Sailing,Sailing Mixed Multihull,Gold
2863,Walter Ray Allen,Male,25,18-25,192,93,USA,2000,Basketball,Basketball Men's Basketball,Gold
2864,Richard James Allen,Male,25,18-25,172,,IND,1928,Hockey,Hockey Men's Hockey,Gold
2864,Richard James Allen,Male,30,25-30,172,,IND,1932,Hockey,Hockey Men's Hockey,Gold
2864,Richard James Allen,Male,34,Over 30,172,,IND,1936,Hockey,Hockey Men's Hockey,Gold
2871,"Terence de la Mesa ""Terry"" Allen",Male,32,Over 30,,,USA,1920,Polo,Polo Men's Polo,Bronze
2874,Wyatt Allen,Male,25,18-25,193,98,USA,2004,Rowing,Rowing Men's Coxed Eights,Gold
2874,Wyatt Allen,Male,29,25-30,193,98,USA,2008,Rowing,Rowing Men's Coxed Eights,Bronze
2875,"Sandra Louise ""Sandy"" Allen-Lewis",Female,21,18-25,170,59,AUS,2000,Softball,Softball Women's Softball,Bronze
2875,"Sandra Louise ""Sandy"" Allen-Lewis",Female,25,18-25,170,59,AUS,2004,Softball,Softball Women's Softball,Silver
2875,"Sandra Louise ""Sandy"" Allen-Lewis",Female,29,25-30,170,59,AUS,2008,Softball,Softball Women's Softball,Bronze
2877,"Katherine Fiona ""Kate"" Allenby",Female,26,25-30,177,72,GBR,2000,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
15255,Rolf Yngve Brodd,Male,22,18-25,,,SWE,1952,Football,Football Men's Football,Bronze
15261,"John Charles ""Jack"" Broderick",Male,32,Over 30,,,CAN,1908,Lacrosse,Lacrosse Men's Lacrosse,Gold
15265,"David Leitch Smellie ""Dave"" Brodie",Male,38,Over 30,,,GBR,1948,Hockey,Hockey Men's Hockey,Silver
15266,Leith Brodie,Male,22,18-25,187,84,AUS,2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
15266,Leith Brodie,Male,22,18-25,187,84,AUS,2008,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
10774,Gilles Berolatti,Male,24,18-25,176,68,FRA,1968,Fencing,"Fencing Men's Foil, Team",Gold
10774,Gilles Berolatti,Male,28,25-30,176,68,FRA,1972,Fencing,"Fencing Men's Foil, Team",Bronze
10783,Marcel Louis Berr,Male,41,Over 30,,,BEL,1924,Fencing,"Fencing Men's Foil, Team",Silver
10784,Cdric Berrest,Male,23,18-25,191,94,FRA,2008,Rowing,Rowing Men's Quadruple Sculls,Bronze
11921,Risto Uolevi Bjrlin,Male,27,25-30,170,58.5,FIN,1972,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
11932,Carl Johan Magnus Bjrnstjerna,Male,42,Over 30,,,SWE,1928,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
11933,Jacob Carl Gustaf Herman Bjrnstrm,Male,30,25-30,,,FIN,1912,Sailing,Sailing Mixed 10 metres,Silver
11935,Erik Albert Bjurberg,Male,28,25-30,,,SWE,1924,Cycling,"Cycling Men's Road Race, Team",Bronze
11936,"Anna Margrethe ""Molla"" Bjurstedt-Mallory",Female,28,25-30,,,NOR,1912,Tennis,Tennis Women's Singles,Bronze
2880,Arthur Allers,Male,44,Over 30,,,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
2882,Ejler Arild Emil Allert,Male,30,25-30,,,DEN,1912,Rowing,"Rowing Men's Coxed Fours, Inriggers",Gold
2892,Ade Franci Alleyne-Forte,Male,23,18-25,180,73,TTO,2012,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
2894,Derek Swithin Allhusen,Male,54,Over 30,180,71,GBR,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2894,Derek Swithin Allhusen,Male,54,Over 30,180,71,GBR,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
6269,David Valeryevich Ayrapetyan,Male,28,25-30,158,49,RUS,2012,Boxing,Boxing Men's Light-Flyweight,Bronze
6270,"Arthur DeLancey ""Dan"" Ayrault, Jr.",Male,21,18-25,193,86,USA,1956,Rowing,Rowing Men's Coxed Pairs,Gold
6270,"Arthur DeLancey ""Dan"" Ayrault, Jr.",Male,25,18-25,193,86,USA,1960,Rowing,Rowing Men's Coxless Fours,Gold
6272,Sanjay Claude Ayre,Male,20,18-25,188,84,JAM,2000,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
6278,Sarah Lianne Ayton (-Dempsey),Female,24,18-25,167,63,GBR,2004,Sailing,Sailing Women's Three Person Keelboat,Gold
6278,Sarah Lianne Ayton (-Dempsey),Female,28,25-30,167,63,GBR,2008,Sailing,Sailing Women's Three Person Keelboat,Gold
17350,Giovanni Calabrese,Male,33,Over 30,184,88,ITA,2000,Rowing,Rowing Men's Double Sculls,Bronze
17351,Lucas Calabrese,Male,25,18-25,168,60,ARG,2012,Sailing,Sailing Men's Two Person Dinghy,Bronze
17357,Jordi Joan Calafat Estelrich,Male,24,18-25,174,64,ESP,1992,Sailing,Sailing Men's Two Person Dinghy,Gold
13029,Usain St. Leo Bolt,Male,29,25-30,196,95,JAM,2016,Athletics,Athletics Men's 200 metres,Gold
13029,Usain St. Leo Bolt,Male,29,25-30,196,95,JAM,2016,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
13033,"Gustaf Adolf Boltenstern, Jr.",Male,28,25-30,,,SWE,1932,Equestrianism,"Equestrianism Men's Dressage, Team",Silver
13033,"Gustaf Adolf Boltenstern, Jr.",Male,44,Over 30,,,SWE,1948,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze
13033,"Gustaf Adolf Boltenstern, Jr.",Male,48,Over 30,,,SWE,1952,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
13033,"Gustaf Adolf Boltenstern, Jr.",Male,52,Over 30,,,SWE,1956,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
13034,"Gustaf Adolf Boltenstern, Sr.",Male,51,Over 30,,,SWE,1912,Equestrianism,"Equestrianism Men's Dressage, Individual",Silver
11940,Lars Bjnnes,Male,25,18-25,192,87,NOR,1988,Rowing,Rowing Men's Quadruple Sculls,Silver
11940,Lars Bjnnes,Male,28,25-30,192,87,NOR,1992,Rowing,Rowing Men's Quadruple Sculls,Silver
11946,Erik Bjrkum,Male,23,18-25,188,83,NOR,1988,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
11957,Alfred Hartman Bjrnson,Male,23,18-25,,,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
6284,Kazm Ayvaz,Male,26,25-30,173,70,TUR,1964,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
6287,Khurshid Azam,Male,22,18-25,171,67,PAK,1964,Hockey,Hockey Men's Hockey,Silver
6292,Amado Azar,Male,18,18-25,173,,ARG,1932,Boxing,Boxing Men's Middleweight,Silver
13042,"Alice Ruth ""Ruthie"" Bolton-Holifield",Female,29,25-30,173,68,USA,1996,Basketball,Basketball Women's Basketball,Gold
13042,"Alice Ruth ""Ruthie"" Bolton-Holifield",Female,33,Over 30,173,68,USA,2000,Basketball,Basketball Women's Basketball,Gold
7476,Willy Bandholz,Male,24,18-25,,,GER,1936,Handball,Handball Men's Handball,Gold
7479,Spartaco Bandinelli,Male,27,25-30,,,ITA,1948,Boxing,Boxing Men's Flyweight,Silver
7480,"Voldimars ""Valdemar"" Bandolowski",Male,30,25-30,184,82,DEN,1976,Sailing,Sailing Mixed Three Person Keelboat,Gold
7480,"Voldimars ""Valdemar"" Bandolowski",Male,34,Over 30,184,82,DEN,1980,Sailing,Sailing Mixed Three Person Keelboat,Gold
9811,Olesya Vladimirovna Belugina,Female,20,18-25,175,53,RUS,2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
9820,Valery Alekseyevich Belyakov,Male,27,25-30,172,69,URS,1980,Hockey,Hockey Men's Hockey,Bronze
9822,Vladimir Timofeyevich Belyakov,Male,34,Over 30,,,URS,1952,Gymnastics,Gymnastics Men's Team All-Around,Gold
10798,Livio Berruti,Male,21,18-25,180,66,ITA,1960,Athletics,Athletics Men's 200 metres,Gold
10799,Arthur Berry,Male,20,18-25,,,GBR,1908,Football,Football Men's Football,Gold
10799,Arthur Berry,Male,24,18-25,,,GBR,1912,Football,Football Men's Football,Gold
10804,Kevin John Berry,Male,15,Under 18,172,71,AUS,1960,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
10804,Kevin John Berry,Male,19,18-25,172,71,AUS,1964,Swimming,Swimming Men's 200 metres Butterfly,Gold
259,Reema Abdo,Female,21,18-25,173,59,CAN,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
11959,Jrgen Bjrnstad,Male,26,25-30,,,NOR,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
11960,Olaf Trygve Bjrnstad (Olsen-),Male,29,25-30,,,NOR,1912,Rowing,"Rowing Men's Coxed Fours, Inriggers",Bronze
11966,Ejvind Mollerup Blach,Male,24,18-25,,,DEN,1920,Hockey,Hockey Men's Hockey,Silver
11968,Niels Svend Blach,Male,26,25-30,,,DEN,1920,Hockey,Hockey Men's Hockey,Silver
11971,"Archibald Campbell ""Archie"" Black",Male,40,Over 30,,,CAN,1924,Rowing,Rowing Men's Coxless Fours,Silver
9823,Anastasiya Yevgenyevna Belyakova,Female,23,18-25,173,60,RUS,2016,Boxing,Boxing Women's Lightweight,Bronze
9829,David Sagitovich Belyavsky,Male,24,18-25,165,55,RUS,2016,Gymnastics,Gymnastics Men's Team All-Around,Silver
13995,Gilbert Bougnol,Male,33,Over 30,,,FRA,1900,Fencing,"Fencing Men's epee, Masters, Individual",Silver
13996,Ren Bougnol,Male,21,18-25,168,,FRA,1932,Fencing,"Fencing Men's Foil, Team",Gold
13996,Ren Bougnol,Male,25,18-25,168,,FRA,1936,Fencing,"Fencing Men's Foil, Team",Silver
13996,Ren Bougnol,Male,37,Over 30,168,,FRA,1948,Fencing,"Fencing Men's Foil, Team",Gold
7482,ver Maximiliano David Banega,Male,20,18-25,175,73,ARG,2008,Football,Football Men's Football,Gold
1540,Artur Surenovych Aivazian,Male,35,Over 30,177,88,UKR,2008,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
14002,Thomas Bouhail,Male,22,18-25,166,61,FRA,2008,Gymnastics,Gymnastics Men's Horse Vault,Silver
14010,Alexandre Franois tienne Jean Bouin,Male,19,18-25,172,70,FRA,1908,Athletics,"Athletics Men's 3 mile, Team",Bronze
14010,Alexandre Franois tienne Jean Bouin,Male,23,18-25,172,70,FRA,1912,Athletics,"Athletics Men's 5,000 metres",Silver
14011,Marc mile Bouissou,Male,21,18-25,,,FRA,1952,Rowing,Rowing Men's Coxless Fours,Silver
1546,Eirini Andili,Female,17,Under 18,167,45,GRE,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
1551,"Oluwafemi ""Junior"" Ajayi",Male,20,18-25,172,79,NGR,2016,Football,Football Men's Football,Bronze
1554,Omar Ajete Iglesias,Male,27,25-30,175,93,CUB,1992,Baseball,Baseball Men's Baseball,Gold
1554,Omar Ajete Iglesias,Male,31,Over 30,175,93,CUB,1996,Baseball,Baseball Men's Baseball,Gold
1554,Omar Ajete Iglesias,Male,35,Over 30,175,93,CUB,2000,Baseball,Baseball Men's Baseball,Silver
1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",Male,23,18-25,185,75,NGR,2008,Football,Football Men's Football,Silver
15271,Claude Brodin,Male,30,25-30,169,62,FRA,1964,Fencing,"Fencing Men's epee, Team",Bronze
15272,Frans Gsta Brodin,Male,40,Over 30,,,SWE,1948,Sailing,Sailing Mixed Three Person Keelboat,Silver
15274,Jacques Brodin,Male,17,Under 18,180,77,FRA,1964,Fencing,"Fencing Men's epee, Team",Bronze
14017,Benjamin Kudjow Thomas Boukpeti,Male,27,25-30,176,73,TOG,2008,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
8590,Suzy Batkovic (-Brown),Female,23,18-25,195,89,AUS,2004,Basketball,Basketball Women's Basketball,Silver
8590,Suzy Batkovic (-Brown),Female,27,25-30,195,89,AUS,2008,Basketball,Basketball Women's Basketball,Silver
8590,Suzy Batkovic (-Brown),Female,31,Over 30,195,89,AUS,2012,Basketball,Basketball Women's Basketball,Bronze
13050,Antal Bolvri,Male,20,18-25,,,HUN,1952,Water Polo,Water Polo Men's Water Polo,Gold
13050,Antal Bolvri,Male,24,18-25,,,HUN,1956,Water Polo,Water Polo Men's Water Polo,Gold
3978,Ramon Dean Andersson,Male,29,25-30,188,95,AUS,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
3980,Robert Theodor Andersson,Male,21,18-25,,,SWE,1908,Water Polo,Water Polo Men's Water Polo,Bronze
3980,Robert Theodor Andersson,Male,25,18-25,,,SWE,1912,Water Polo,Water Polo Men's Water Polo,Silver
3980,Robert Theodor Andersson,Male,33,Over 30,,,SWE,1920,Water Polo,Water Polo Men's Water Polo,Bronze
3981,Robert Andersson,Male,22,18-25,191,83,SWE,1992,Handball,Handball Men's Handball,Silver
3981,Robert Andersson,Male,26,25-30,191,83,SWE,1996,Handball,Handball Men's Handball,Silver
14025,Khalid Boulami,Male,26,25-30,167,60,MAR,1996,Athletics,"Athletics Men's 5,000 metres",Bronze
14031,Ren Boulanger,Male,25,18-25,,,FRA,1920,Gymnastics,Gymnastics Men's Team All-Around,Bronze
14037,Marcel Jacques Amand Romain Boulenger,Male,26,25-30,,,FRA,1900,Fencing,"Fencing Men's Foil, Individual",Bronze
8607,Vitalina Igorevna Batsarashkina,Female,19,18-25,162,60,RUS,2016,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
